xmin,ymin,xmax,ymax,confidence,class,timestamp,classifier
148,374.3713379,250.1486511,453.4466553,538.5343018,0.7418920994,0,58,pruned_quant-aggressive_98
149,228.6663208,87.90457153,381.5012817,640.6459961,0.8860833645,0,59,pruned_quant-aggressive_98
150,368.3901062,253.248764,452.3609924,541.6401978,0.6641564369,0,59,pruned_quant-aggressive_98
151,227.1057739,88.41729736,379.8403931,642.1054688,0.8866627812,0,60,pruned_quant-aggressive_98
152,363.1419678,257.566803,452.0359497,544.0146484,0.7092347741,0,60,pruned_quant-aggressive_98
153,225.6324158,89.42199707,379.8212585,641.2108154,0.8605875969,0,61,pruned_quant-aggressive_98
154,364.9267273,257.2861328,451.4118958,543.5158691,0.6320751905,0,61,pruned_quant-aggressive_98
155,225.4304199,88.63674927,377.2987671,639.7871094,0.8475163579,0,62,pruned_quant-aggressive_98
156,6.691387177,249.7997742,112.4955597,568.6512451,0.6331772208,0,62,pruned_quant-aggressive_98
157,328.7196045,264.2990112,418.9926147,449.7868652,0.4536168575,17,62,pruned_quant-aggressive_98
158,224.4311218,89.1607666,392.6195984,637.7884521,0.7069227695,0,63,pruned_quant-aggressive_98
159,5.392860413,250.1249695,111.2242432,568.2962646,0.5508582592,0,63,pruned_quant-aggressive_98
160,322.9182739,258.6994019,426.1123657,446.8684082,0.6432093382,17,64,pruned_quant-aggressive_98
161,223.4064331,86.33694458,384.2496338,632.1308594,0.6424514055,0,64,pruned_quant-aggressive_98
162,222.7492828,90.75726318,385.6914673,639.8766479,0.7817159891,0,65,pruned_quant-aggressive_98
163,317.9554443,257.6130371,425.8850708,444.2254028,0.7193140388,17,65,pruned_quant-aggressive_98
164,220.4987793,98.40591431,392.2633667,641.3955078,0.7192524076,0,66,pruned_quant-aggressive_98
165,321.6811523,257.7244873,426.4885254,440.6757202,0.5477998853,17,66,pruned_quant-aggressive_98
166,217.0849304,101.9117432,405.1228943,634.6658936,0.482953161,0,67,pruned_quant-aggressive_98
167,216.3211975,104.3508148,357.0860901,447.7265625,0.5666062832,0,68,pruned_quant-aggressive_98
168,321.6482239,265.0321655,418.0640564,446.5176392,0.521738112,16,68,pruned_quant-aggressive_98
169,312.7247925,266.7750244,427.6395264,449.6060181,0.6295127273,16,69,pruned_quant-aggressive_98
170,210.7243805,106.6115875,352.8901367,449.9265137,0.4797162414,0,69,pruned_quant-aggressive_98
171,207.0113068,107.3000946,356.3030396,451.0767212,0.6893337965,0,70,pruned_quant-aggressive_98
172,315.207489,271.9258423,422.4104309,449.229126,0.583599031,16,70,pruned_quant-aggressive_98
173,203.8976135,108.4282684,369.0301819,450.5819092,0.731328249,0,71,pruned_quant-aggressive_98
174,317.6775208,283.7628784,413.6962585,447.9575195,0.6860497594,17,71,pruned_quant-aggressive_98
175,202.6222839,110.2019196,354.0406189,451.0698853,0.7078574896,0,72,pruned_quant-aggressive_98
176,319.1044922,292.8598022,413.0218506,448.4125977,0.4629622698,16,72,pruned_quant-aggressive_98
177,317.6119995,290.8981934,412.6359253,449.2606201,0.4587725997,17,72,pruned_quant-aggressive_98
178,319.2504578,293.1922607,412.4155579,449.293335,0.7019780278,17,73,pruned_quant-aggressive_98
179,201.241745,112.1607208,351.9429932,449.6060181,0.5937728286,0,73,pruned_quant-aggressive_98
180,373.9177856,266.6887207,449.3370361,446.9345703,0.567487359,0,73,pruned_quant-aggressive_98
181,320.4831238,295.102417,411.5328674,448.9734497,0.6802540421,17,74,pruned_quant-aggressive_98
182,201.1797485,111.6939697,353.1222534,449.4719849,0.6717709899,0,74,pruned_quant-aggressive_98
183,372.7715454,265.4746704,448.6057739,448.7280884,0.5277563334,0,74,pruned_quant-aggressive_98
184,201.4007874,111.5088806,352.6122131,449.940094,0.7169156075,0,75,pruned_quant-aggressive_98
185,322.3747559,295.0910645,410.795105,449.0222778,0.5950722098,17,75,pruned_quant-aggressive_98
186,380.2808838,265.055481,447.479126,448.4273682,0.5075681806,0,75,pruned_quant-aggressive_98
187,201.4025574,111.9727478,354.7991638,450.0453796,0.6890078187,0,76,pruned_quant-aggressive_98
188,367.9516296,266.9159241,446.8067932,446.7124939,0.5825968385,0,76,pruned_quant-aggressive_98
189,324.275116,297.428009,408.8315735,447.9508362,0.5173893571,17,76,pruned_quant-aggressive_98
190,379.0426025,266.7853088,446.7886353,448.3649597,0.6279830933,0,77,pruned_quant-aggressive_98
191,324.3022461,297.7176819,410.1658325,448.2032166,0.6235861182,17,77,pruned_quant-aggressive_98
192,201.523407,111.4208374,352.9636536,448.9139404,0.5836891532,0,77,pruned_quant-aggressive_98
193,378.1755371,266.2602844,446.829895,449.0982971,0.6036996841,0,78,pruned_quant-aggressive_98
194,202.215744,100.7471313,384.1907349,638.1185303,0.5746394992,0,78,pruned_quant-aggressive_98
195,201.9191589,110.1173096,351.424408,449.1516724,0.5745652318,0,79,pruned_quant-aggressive_98
196,378.1156311,264.1924133,446.7356873,446.1031189,0.5088216662,0,79,pruned_quant-aggressive_98
197,205.1798553,108.2523804,349.8938599,449.6662598,0.6393842101,0,80,pruned_quant-aggressive_98
198,377.0194702,261.0778198,448.1340332,450.8677979,0.5308290124,0,80,pruned_quant-aggressive_98
199,320.3606567,291.5627441,410.7806396,449.2962646,0.5046458244,17,80,pruned_quant-aggressive_98
200,207.9062805,107.5404053,353.6146545,449.921936,0.7093500495,0,81,pruned_quant-aggressive_98
201,379.3876038,260.0017395,450.1277771,450.4558411,0.6168686748,0,81,pruned_quant-aggressive_98
202,211.1602173,105.8806458,353.6729736,449.3534241,0.7208152413,0,82,pruned_quant-aggressive_98
203,382.6373291,260.7831726,451.1714478,449.2923279,0.6794331074,0,82,pruned_quant-aggressive_98
204,321.4685669,285.552002,401.5028687,450.8464966,0.5213410854,17,82,pruned_quant-aggressive_98
205,382.4758301,260.6349487,453.2503052,448.8117065,0.7125173211,0,83,pruned_quant-aggressive_98
206,212.7149811,104.7930603,354.5650635,449.4341125,0.7012314796,0,83,pruned_quant-aggressive_98
207,213.9112854,99.61351013,368.6166687,449.3866577,0.7211364508,0,84,pruned_quant-aggressive_98
208,379.2460022,259.9627075,454.6559753,448.7136841,0.6433150768,0,84,pruned_quant-aggressive_98
209,214.859436,100.3158417,413.6806641,450.1446533,0.7151911855,0,85,pruned_quant-aggressive_98
210,388.8145142,259.5992432,456.3499756,448.6581421,0.6941522956,0,85,pruned_quant-aggressive_98
211,390.3546143,259.4525757,458.8462524,446.1828613,0.7387535572,0,86,pruned_quant-aggressive_98
212,217.7022095,97.89227295,407.8210449,450.2189941,0.6816722155,0,86,pruned_quant-aggressive_98
213,218.4226685,97.85255432,367.0241699,450.3256226,0.6750544906,0,87,pruned_quant-aggressive_98
214,389.7374878,258.4716492,459.7648926,445.9443665,0.6123609543,0,87,pruned_quant-aggressive_98
215,218.5193481,100.1239471,391.3083496,449.6802979,0.6409933567,0,88,pruned_quant-aggressive_98
216,390.583374,259.6369629,459.8765869,448.303833,0.6100310683,0,88,pruned_quant-aggressive_98
217,392.0535278,262.8833008,459.9658203,445.227417,0.5880591273,0,89,pruned_quant-aggressive_98
218,217.9617615,101.3943176,349.2171936,448.2398376,0.5821431279,0,89,pruned_quant-aggressive_98
219,334.8678589,232.5455017,408.8919067,448.9983826,0.5661560893,17,89,pruned_quant-aggressive_98
220,333.7078857,236.7973938,405.7739868,449.6756897,0.7562289834,17,90,pruned_quant-aggressive_98
221,392.7302246,262.857666,459.5082397,447.9592896,0.6926526427,0,90,pruned_quant-aggressive_98
222,216.2289734,106.2765198,348.3228455,447.9913635,0.5915205479,0,90,pruned_quant-aggressive_98
223,332.4902954,239.0267029,406.447876,448.4133606,0.7662088871,17,91,pruned_quant-aggressive_98
224,392.4656067,264.4995728,459.4995422,447.6949463,0.7557285428,0,91,pruned_quant-aggressive_98
225,215.0705566,106.478653,350.5537109,448.0201416,0.6587716937,0,91,pruned_quant-aggressive_98
226,392.0830994,264.3121643,458.5649719,448.1199646,0.7048640251,0,92,pruned_quant-aggressive_98
227,212.7565308,103.5416107,354.0119019,448.1477661,0.6800785661,0,92,pruned_quant-aggressive_98
228,332.0772705,240.7867737,405.4899292,447.948761,0.671264112,17,92,pruned_quant-aggressive_98
229,391.7234497,262.7697449,458.3761597,448.606781,0.7337704301,0,93,pruned_quant-aggressive_98
230,210.6326599,103.7011719,362.3070374,449.0097656,0.6950787306,0,93,pruned_quant-aggressive_98
231,331.7377625,239.2152405,405.6014709,448.4186096,0.597994566,17,93,pruned_quant-aggressive_98
232,393.6608582,262.3334961,458.6320496,448.6582642,0.6995392442,0,94,pruned_quant-aggressive_98
233,331.7540283,237.2702789,407.7379761,448.8586426,0.6104303002,17,94,pruned_quant-aggressive_98
234,208.7836151,104.1994324,370.6703491,448.5818176,0.5855004191,0,94,pruned_quant-aggressive_98
235,394.5346375,261.7775879,459.2445374,448.3244629,0.7506159544,0,95,pruned_quant-aggressive_98
236,331.5897522,233.421875,411.030304,449.9206543,0.7497143149,17,95,pruned_quant-aggressive_98
237,206.231842,96.99990845,374.3348694,636.9025879,0.5615982413,0,95,pruned_quant-aggressive_98
238,6.826244354,247.8045044,106.1906433,567.9190674,0.489126116,0,95,pruned_quant-aggressive_98
239,332.1882019,229.4704285,421.4709778,450.8347473,0.7091803551,17,96,pruned_quant-aggressive_98
240,394.2971497,261.2973633,459.1372986,448.3151855,0.6998003721,0,96,pruned_quant-aggressive_98
241,206.1627808,94.59765625,370.9205933,637.3845215,0.6198953986,0,96,pruned_quant-aggressive_98
242,394.3725586,260.8345337,460.296936,448.4713135,0.6533305645,0,97,pruned_quant-aggressive_98
243,206.4724426,95.99627686,387.4080505,636.5628052,0.5289167166,0,97,pruned_quant-aggressive_98
244,394.671051,262.8628845,460.8194275,448.3283386,0.6249794364,0,98,pruned_quant-aggressive_98
245,212.2420349,102.9294281,409.6150208,448.0565186,0.5980886817,0,98,pruned_quant-aggressive_98
246,215.7202606,105.6578674,412.6313477,448.8412781,0.5867832303,0,99,pruned_quant-aggressive_98
247,394.6288452,265.7750244,461.1677246,447.7051392,0.451120019,0,99,pruned_quant-aggressive_98
248,394.6069946,271.7657471,461.9197388,447.0294189,0.466051966,0,100,pruned_quant-aggressive_98
249,218.7072601,111.8189392,376.4509888,447.4128723,0.4562119842,0,100,pruned_quant-aggressive_98
250,220.6052856,115.774231,360.4127808,449.4924927,0.6369977593,0,101,pruned_quant-aggressive_98
251,396.2226257,276.7496643,462.7743835,446.908783,0.4793936014,0,101,pruned_quant-aggressive_98
252,221.9547119,122.4385223,359.8233032,449.2625122,0.6334563494,0,102,pruned_quant-aggressive_98
253,223.1296997,127.390976,364.8752441,449.4019775,0.6234638691,0,103,pruned_quant-aggressive_98
254,223.4768219,126.4495239,389.7921143,632.7938843,0.6855072379,0,104,pruned_quant-aggressive_98
255,400.3423767,292.1392212,467.8009338,447.3574219,0.4533312023,0,104,pruned_quant-aggressive_98
256,224.6721497,127.6442261,401.4992371,631.0488281,0.7075251937,0,105,pruned_quant-aggressive_98
257,402.9222717,291.4555969,469.6375427,447.9145203,0.4956090152,0,105,pruned_quant-aggressive_98
258,224.8543091,124.752243,405.3001709,633.237793,0.6992318034,0,106,pruned_quant-aggressive_98
259,223.8675842,120.5076294,394.2993469,628.6795044,0.7865925431,0,107,pruned_quant-aggressive_98
260,405.9184875,282.8137207,471.7182922,447.6153564,0.6151713133,0,107,pruned_quant-aggressive_98
261,16.28605652,269.2107544,132.1745758,587.6242676,0.5213025808,0,107,pruned_quant-aggressive_98
262,222.8302002,116.7761993,394.5014038,626.7581177,0.7966878414,0,108,pruned_quant-aggressive_98
263,405.0672302,275.9586182,471.5343323,447.2498169,0.6183432341,0,108,pruned_quant-aggressive_98
264,14.8940239,265.3416138,133.2055206,582.6795654,0.584405303,0,108,pruned_quant-aggressive_98
265,222.0996399,110.6705322,389.2923889,629.006958,0.7679142356,0,109,pruned_quant-aggressive_98
266,404.7150879,270.7567444,470.7086182,447.842804,0.6050317883,0,109,pruned_quant-aggressive_98
267,15.41285706,260.6611938,133.4223785,580.3009644,0.5188049674,0,109,pruned_quant-aggressive_98
268,221.8967285,111.8484802,401.9726563,624.7539063,0.6028137803,0,110,pruned_quant-aggressive_98
269,404.6303101,270.6446228,470.3256836,447.0128479,0.4971192777,0,110,pruned_quant-aggressive_98
270,221.6516571,111.9684448,412.9865723,620.385498,0.5944576263,0,111,pruned_quant-aggressive_98
271,403.7730713,268.9805298,469.9992676,447.4547729,0.4820991158,0,111,pruned_quant-aggressive_98
